index,input,type,A,B,C,D,E,F,summary,A_c,B_c,C_c,D_c,E_c,F_c,sentiment_gpt
13,"生成AIによる学習が人間が行う学習に対して遥かに高速・膨大である。
生成AIが侵害の可能性があるものを容易には作成できぬようにすることを求める。",規範的主張,生成AIの学習,人間の学習より高速・膨大,生成AI,侵害の可能性あるものを作成できぬように,NA,NA,生成AIの学習が人間の学習より高速・膨大であるから、生成AIは侵害の可能性があるものを容易には作成できぬようにするべきである。,7,3231,0,3076,2960,2960,0.2
14,"生成AIが社会に対して混乱する状況を引き起こしている。
読者が生成AIを全面的に禁止することを求める。",要望,生成AIが,社会に対して混乱を引き起こしている,NA,NA,読者,生成AIを全面的に禁止すること,生成AIが社会に対して混乱を引き起こしているから、読者に対して生成AIを全面的に禁止することをして欲しい。,0,376,2960,2960,1154,176,0.1
15,"生成AIサービスの会社が盗作の提供に対して利用者に対価として提供している状況を引き起こしている。
生成AIの出力物が禁止すべきである。",規範的主張,生成AIサービスの会社,盗作の提供に対して利用者に対価として提供している状況,生成AIの出力物,禁止すべき,NA,NA,生成AIサービスの会社が盗作の提供に対して利用者に対価として提供している状況だから、生成AIの出力物は禁止すべきである。,1786,3153,0,48,2960,2960,0.1
17,"生成AIがインターネット上の画像や文章音声に対して無断で収集し抽出してデータセットとして圧縮している。
生成AIがデータを盗用している状況がNOを突きつけるべきである。",規範的主張,生成AIが,データを盗用,状況,NOを突きつけるべき,NA,NA,生成AIがデータを盗用しているから状況にNOを突きつけるべきである。,0,2192,5015,2587,2960,2960,0.1
18,"生成AIが著作者の権利に対して守れない状況を引き起こしている。
最悪のシナリオが避けるべきである。",規範的主張,生成AIが著作者の権利に対して,守れない状況,最悪のシナリオ,避けるべき,NA,NA,生成AIが著作者の権利に対して守れない状況だから最悪のシナリオを避けるべきである。,0,4756,4161,797,2960,2960,0.2
20,"反AIの人々が生成AIに対して強烈な反対意見を引き起こしている。
政府が画像にノイズを付加することでイラスト生成AI学習を攻撃するツールをAI開発・学習のための複製等を防止する技術的な措置として扱うかどうか示して欲しい。",要望,反AIの人々,生成AIに対して強烈な反対意見,NA,NA,政府,画像にノイズを付加することでイラスト生成AI学習を攻撃するツールをAI開発・学習のための複製等を防止する技術的な措置として扱う,反AIの人々が生成AIに対して強烈な反対意見を引き起こしているから、政府に対して画像にノイズを付加することでイラスト生成AI学習を攻撃するツールをAI開発・学習のための複製等を防止する技術的な措置として扱うかどうか示して欲しい。,1907,4345,2960,2960,2383,3015,0.2
21,"AIが違法行為に使用された場合の責任が公正ではない。
AIの違法行為に関する法律が議論された際が被害者の権利を保護し公正な制度を確立するよう強く働きかける。",規範的主張,AIが違法行為に使用,責任が公正ではない,被害者の権利保護,公正な制度確立,NA,NA,AIが違法行為に使用された場合の責任が公正ではないから、被害者の権利を保護し公正な制度を確立するべきである。,2122,1776,1763,2297,2960,2960,0.2
23,"生成AIで作成されたデータが実際の戦争や災害の画像などとして発表された結果に対して報道を混乱させる。
生成されたものが生成AI製であることを明示することを求める。",規範的主張,生成AIで作成されたデータ,報道を混乱させる,生成AI製であること,明示すること,NA,NA,生成AIで作成されたデータが報道を混乱させるから、生成AI製であることを明示することが求められる。,47,5081,0,2674,2960,2960,0.2
24,"生成AIの追加学習などの技術が著作物の経済価値に対して新たな可能性を生み出している。
データベースの著作物のみに「非享受目的を本来的利用とする著作物」を限定することが不当である。",規範的主張,生成AIの追加学習,著作物の経済価値に新たな可能性,データベースの著作物,非享受目的を本来的利用とする著作物を限定すること,NA,NA,生成AIの追加学習が著作物の経済価値に新たな可能性を生み出しているから、データベースの著作物に非享受目的を本来的利用とする著作物を限定することが不当である。,4519,1428,2940,4983,2960,2960,0.2
25,"生成AIが創作者に対して創作者側が自分たちの仕事を失うのではという点を問題視している。
生成AIの規制が既存の創作者と著作権的に問題ない状態にする方向に勧めるべきである。",規範的主張,生成AIが創作者に対して,創作者側が自分たちの仕事を失うのではと問題視している,生成AIの規制,既存の創作者と著作権的に問題ない状態にする方向に勧めるべき,NA,NA,生成AIが創作者に対して創作者側が自分たちの仕事を失うのではと問題視しているから、生成AIの規制が既存の創作者と著作権的に問題ない状態にする方向に勧めるべきである。,0,4210,44,922,2960,2960,0.3
26,"生成AIが特定のイラストレーター等に対して嫌がらせをしようとする連中の存在を引き起こしている。
法整備がきちんとすべきである。",規範的主張,生成AIが特定のイラストレーター等に対して嫌がらせをしようとする連中の存在,引き起こしている,法整備,きちんとすべき,NA,NA,生成AIが特定のイラストレーター等に対して嫌がらせをしようとする連中の存在を引き起こしているから法整備がきちんとすべきである。,660,3212,329,1476,2960,2960,0.1
27,"生成AIがイラストの絵柄に対して無許可で学習している状況を引き起こしている。
生成AIイラストが窃盗である。",規範的主張,生成AIがイラストの絵柄に対して無許可で学習,窃盗である,生成AIの使用,厳しく規制すべき,NA,NA,生成AIがイラストの絵柄に対して無許可で学習している状況は窃盗であるから、生成AIの使用は厳しく規制すべきである。,146,57,0,18,2960,2960,0.1
28,"生成AIが著作権法に対して適用外に当たる状況を引き起こしている。
政府が著作権者の権利が海賊版や生成AIから守られるような仕組みを作って欲しい。",要望,生成AIが著作権法に対して,適用外に当たる状況,NA,NA,政府,著作権者の権利が海賊版や生成AIから守られるような仕組みを作る,生成AIが著作権法に対して適用外に当たる状況だから、政府に対して著作権者の権利が海賊版や生成AIから守られるような仕組みを作って欲しい。,0,4769,2960,2960,2383,3514,0.1
29,"生成AIのデータセットが著作者の著作物に対して模倣した嫌がらせや脅迫を引き起こしている。
生成AIのデータセットが知的財産権的に問題である。",規範的主張,生成AIのデータセット,著作物に対して模倣した嫌がらせや脅迫を引き起こしている,生成AIのデータセット,知的財産権的に問題,NA,NA,生成AIのデータセットが著作物に対して模倣した嫌がらせや脅迫を引き起こしているから、生成AIのデータセットは知的財産権的に問題であるべきである。,41,980,41,2141,2960,2960,0.1
30,"現状のAIのやっていることが漫画村と似たようなものである。
政府がオプトイン方式にして安心して使えるようにするなどの納得できる方法にしてほしい。",要望,現状のAI,漫画村と似たようなもの,NA,NA,政府,オプトイン方式にして安心して使えるようにするなどの納得できる方法,現状のAIが漫画村と似たようなものだから、政府に対してオプトイン方式にして安心して使えるようにするなどの納得できる方法をして欲しい。,2600,1448,2960,2960,2383,3166,0.2
31,"生成AIが利用者を考慮していない状況を引き起こしている。
生成AIを提供する側が削除を可能とする体制を用意して欲しい。",要望,生成AIが利用者を考慮していない,状況を引き起こしている,NA,NA,生成AIを提供する側,削除を可能とする体制を用意,生成AIが利用者を考慮していない状況を引き起こしているから、生成AIを提供する側に対して削除を可能とする体制を用意して欲しい。,1050,356,2960,2960,4327,2667,0.2
32,"世の中にあるデータが学習しやすいようになっていないのが悪いが権利侵害であっても学習しやすいようになっているものであれば、学習しても問題ないとしてほしい。
著作権者が海賊版等の権利侵害複製物をAI学習のため複製することについて学習しても問題ないとしてほしい。",要望,データが学習しやすいようになっていない,悪い,NA,NA,著作権者,海賊版等の権利侵害複製物をAI学習のため複製することについて学習しても問題ないとしてほしい,データが学習しやすいようになっていないのが悪いから、著作権者に対して海賊版等の権利侵害複製物をAI学習のため複製することについて学習しても問題ないとしてほしい。,4248,245,2960,2960,15,3472,0.2
33,"生成AIへの風当たりが強い状況が魔女狩りじみている。
開発者と創作者が良い落としどころが見つかることを祈って欲しい。",要望,生成AIへの風当たり,魔女狩りじみている,NA,NA,開発者と創作者,良い落としどころが見つかることを祈って欲しい,生成AIへの風当たりが魔女狩りじみているから、開発者と創作者に対して良い落としどころが見つかることを祈って欲しい。,0,3864,2960,2960,1579,1401,0.7
34,"生成AIにおける選択行為が創作的意図上の合格基準ラインをすべてクリアしている状況を引き起こしている。
生成AIにおける選択行為が創作的寄与の判断に影響しうると考える。",規範的主張,生成AIの選択行為,創作的意図上の合格基準ラインをクリア,生成AIの選択行為,創作的寄与の判断に影響,NA,NA,生成AIの選択行為が創作的意図上の合格基準ラインをクリアしているから、生成AIの選択行為が創作的寄与の判断に影響するべきである。,588,1315,588,706,2960,2960,0.8
35,"拡大解釈が学習・開発段階に対して権利範囲を広げられてしまう懸念がある。
研究機関や企業が学習や開発を安心して実施できる状況を作ってほしい。",要望,拡大解釈,権利範囲を広げられる懸念,NA,NA,研究機関や企業,学習や開発を安心して実施,拡大解釈が権利範囲を広げられる懸念があるから、研究機関や企業に対して学習や開発を安心して実施して欲しい。,53,4570,2960,2960,2905,4091,0.7
36,"生成AIが著作物に対してデータとして取り込んでいる。
生成AIの学習に用いることが権利者の許諾なしに禁止する法規制を望む。",規範的主張,生成AIが著作物,データとして取り込んでいる,学習に用いること,権利者の許諾なしに禁止する,NA,NA,生成AIが著作物をデータとして取り込んでいるから、学習に用いることは権利者の許諾なしに禁止するべきである。,0,1953,385,5086,2960,2960,0.1
37,"生成AIの出力物が既存の権利物に対して酷似している。
生成AIの規制が個人・非営利・研究利用においての制限は撤廃し、営利利用や一般の開放されたコミュニティへの投稿などには規制を掛けるべきである。",規範的主張,生成AIの出力物,既存の権利物に酷似,生成AIの規制,営利利用に規制,NA,NA,生成AIの出力物が既存の権利物に酷似しているから、生成AIの規制は営利利用に規制を掛けるべきである。,0,2525,44,2725,2960,2960,0.7
38,"事実に反することを平然と言う状況が被害者が泣き寝入りし技術が停滞する状況を引き起こしている。
政府が弁護士等の事実に反する意見を参考にする際は慎重に選択してほしい。",要望,事実に反することを平然と言う状況,被害者が泣き寝入りし技術が停滞する状況を引き起こしている,NA,NA,政府,弁護士等の事実に反する意見を参考にする際は慎重に選択,事実に反することを平然と言う状況が被害者が泣き寝入りし技術が停滞する状況を引き起こしているから、政府に対して弁護士等の事実に反する意見を参考にする際は慎重に選択して欲しい。,1601,4085,2960,2960,2383,3187,0.2
39,"生成AIが民間に扱われるようになってから、心理上関連づけてしまい、不快感を抱いてしまう問題を膨大してしまっている問題が生成AIの規制。
生成AIの規制が必要である。",規範的主張,生成AIが民間に扱われる,心理上の問題を膨大,生成AIの規制,必要,NA,NA,生成AIが民間に扱われるようになってから心理上の問題を膨大してしまっているから、生成AIの規制が必要である。,673,5077,44,39,2960,2960,0.2
40,"AIイラストがクリエイターに対して仕事を奪われる事例が増えている。
AIの学習行為が著作権が適応されるべきである。",規範的主張,AIイラスト,クリエイターに仕事を奪われる,AIの学習行為,著作権が適応されるべき,NA,NA,AIイラストがクリエイターに仕事を奪われるから、AIの学習行為には著作権が適応されるべきである。,0,90,7,15,2960,2960,0.1
41,"現生成AIが個人の創作物に対してプロンプト次第で出せる状況を引き起こしている。
現生成AIが規制すべきである。",規範的主張,現生成AI,個人の創作物に対してプロンプト次第で出せる状況を引き起こしている,現生成AI,規制すべき,NA,NA,現生成AIが個人の創作物に対してプロンプト次第で出せる状況を引き起こしているから、現生成AIは規制すべきである。,0,4392,0,18,2960,2960,0.1
42,"AI生成物の販売が著作権所持者の生活に対して脅かしている。
著作権物に対してAI技術の使用が禁止されるべきである。",規範的主張,AI生成物の販売,著作権所持者の生活に脅かし,AI技術の使用,禁止されるべき,NA,NA,AI生成物の販売が著作権所持者の生活に脅かしているから、AI技術の使用は禁止されるべきである。,272,3203,10,48,2960,2960,0.1
43,"現在の生成AIの在り方が著作権者の市場に対して衝突している。
権利制限規定の在り方がより一層慎重になるべきである。",規範的主張,生成AIの在り方,著作権者の市場に衝突,権利制限規定の在り方,慎重になるべき,NA,NA,生成AIの在り方が著作権者の市場に衝突しているから権利制限規定の在り方が慎重になるべきである。,0,1051,117,248,2960,2960,0.1
44,"生成AI使用者がクリエイターの意見に対して誹謗中傷や政治的思想を伴った反論を引き起こしている。
政府が生成AI提供者は常に学習データを開示、或いは請求に対して開示する義務を持つこと。",規範的主張,生成AI使用者,クリエイターの意見に対して誹謗中傷や政治的思想を伴った反論を引き起こしている,政府,生成AI提供者は常に学習データを開示、或いは請求に対して開示する義務を持つこと,NA,NA,生成AI使用者がクリエイターの意見に対して誹謗中傷や政治的思想を伴った反論を引き起こしているから、政府は生成AI提供者に常に学習データを開示、或いは請求に対して開示する義務を持つことが必要である。,0,2638,2383,3597,2960,2960,0.1
45,"生成AIが作家達に対して無秩序に作品を利用されている状況を引き起こしている。
筆者が画像生成AIの使用に対して一部研究機関、研究者のみに制限し、最低限の倫理問題をクリアできてから免許所有者のみ利用可能、まで制限をかけるべきである。",規範的主張,生成AIが作家達に,無秩序に作品を利用されている,画像生成AIの使用,一部研究機関、研究者のみに制限し、最低限の倫理問題をクリアできてから免許所有者のみ利用可能,NA,NA,生成AIが作家達に無秩序に作品を利用されているから、画像生成AIの使用は一部研究機関、研究者のみに制限し、最低限の倫理問題をクリアできてから免許所有者のみ利用可能であるべきである。,0,1704,0,4480,2960,2960,0.1
46,"生成AIによるイラスト生成の楽しみがこの世の終わりであるが生成AIの楽しみ。
日本の生成AIの土壌がよい土壌であるべきである。",規範的主張,生成AIによるイラスト生成,この世の終わり,日本の生成AIの土壌,よい土壌,NA,NA,生成AIによるイラスト生成がこの世の終わりであるから、日本の生成AIの土壌はよい土壌であるべきである。,0,1976,435,917,2960,2960,0.8
47,"児童ポルノ被害者の実画像が入っているデータセットが生成AIに対して世界的に規制の流れを引き起こしている。
生成AIのデータセットが100％クリーンであるべきである。",規範的主張,児童ポルノ被害者の実画像,規制の流れを引き起こしている,生成AIのデータセット,100％クリーンであるべき,NA,NA,児童ポルノ被害者の実画像が規制の流れを引き起こしているから、生成AIのデータセットは100％クリーンであるべきである。,4664,4896,41,2469,2960,2960,0.1
48,"現生成AIが創作物に対して誰でも出せてしまう状況を引き起こしている。
現生成AIが規制すべきである。",規範的主張,現生成AI,創作物に対して誰でも出せてしまう状況,現生成AI,規制すべき,NA,NA,現生成AIが創作物に対して誰でも出せてしまう状況だから、現生成AIは規制すべきである。,0,4407,0,18,2960,2960,0.1
49,"イラストレーターの時間と努力によって培われたもので描かれたイラストが人権の侵害に相当するレベルである。
AIが一度使用を制限する必要がある。",規範的主張,イラストレーターの時間と努力,人権の侵害に相当するレベル,AI,使用を制限する必要,NA,NA,イラストレーターの時間と努力によって培われたもので描かれたイラストが人権の侵害に相当するレベルであるから、AIは使用を制限する必要がある。,1855,3475,4491,3662,2960,2960,0.1
51,"生成AIが他文化の担い手に対して攻撃的意図で使われる状況を引き起こしている。
他文化の尊重が文化の発展に欠かせない倫理的規範であるべきである。",規範的主張,生成AIが,攻撃的意図で使われる状況,他文化の尊重,文化の発展に欠かせない倫理的規範,NA,NA,生成AIが攻撃的意図で使われる状況だから他文化の尊重が文化の発展に欠かせない倫理的規範であるべきである。,0,2216,3985,2505,2960,2960,0.2
52,"生成AIの根幹にあるデータセットが日本を代表するコンテンツ産業に対してつぶす事になる。
国が生成AIの根幹にあるデータセットが盗作、盗用、無断学習、さらに児童ポルノなどの非人道的なデータで成り立っている事実を国民に知らせることに対して当たり前である。",規範的主張,生成AIの根幹,日本のコンテンツ産業にとって危機,国民への情報公開,当たり前,NA,NA,生成AIの根幹が日本のコンテンツ産業にとって危機であるから、国民への情報公開が当たり前であるべきである。,611,4449,2552,637,2960,2960,0.1
53,"現状世に出回っているAI生成のものがデータセットに対して著作権違反をしている状態である。
著者またはドメインを持つ財団が著作権料を支払うべきである。",規範的主張,AI生成のもの,著作権違反状態,著者または財団,著作権料支払い,NA,NA,AI生成のものが著作権違反状態であるから、著者または財団は著作権料を支払うべきである。,0,15,2175,2933,2960,2960,0.2
54,"生成AIがクリエイターのアイデンティティーに対して盗まれ、勝手にバラ撒かれたも同然のような状況を引き起こしている。
生成AIが大きく規制をかけるべきである。",規範的主張,生成AI,クリエイターのアイデンティティー盗まれ,生成AI,大きく規制,NA,NA,生成AIがクリエイターのアイデンティティーを盗まれたから、生成AIは大きく規制されるべきである。,0,4112,0,2794,2960,2960,0.1
55,"一人の著作者のデータを集中学習させることによって画風を酷似させる問題が筆を折る事態や精神的苦痛を訴える者まで現れている状況である。
企業または個人が無断でAIに著作物を学習させる行為が制限されるべきである。",規範的主張,著作者のデータ,画風を酷似させる問題,企業または個人,行為が制限されるべき,NA,NA,著作者のデータを集中学習させることによって画風を酷似させる問題があるから、企業または個人の行為が制限されるべきである。,2441,3433,257,799,2960,2960,0.1
56,"生成AIの技術的な背景についてがAI成果物に対して既存の著作物を模倣することが問題であると思う。
学習した既存の著作物と一定の割合以上一致しないなどの措置が必要だと思う。",規範的主張,生成AIの技術的な背景,問題である,学習した既存の著作物,一定の割合以上一致しない,NA,NA,生成AIの技術的な背景が問題であるから、学習した既存の著作物は一定の割合以上一致しないべきである。,366,69,4856,3064,2960,2960,0.2
57,"生成AIの登場が類似性の判定ハードルに対して下がっている。
現法の不正競争防止法が注釈に乗せるだけ留めてほしい。",要望,生成AIの登場,類似性の判定ハードルが下がっている,NA,NA,現法の不正競争防止法,注釈に乗せるだけ留めてほしい,生成AIの登場が類似性の判定ハードルが下がっているから、現法の不正競争防止法に対して注釈に乗せるだけ留めてほしい。,0,3110,2960,2960,1225,3631,0.2
58,"イラストAIが一般利用者に対して利用ができる状態である。
イラストAIが一般利用はされるべきではない。",規範的主張,イラストAI,一般利用者に対して利用ができる状態,イラストAI,一般利用はされるべきではない,NA,NA,イラストAIが一般利用者に対して利用ができる状態であるから、イラストAIの一般利用はされるべきではない。,0,2329,0,1693,2960,2960,0.2
59,"著作物の利用が生成AIの学習に対して生成されるものが必ずしも著作物と関係していない状況を引き起こしている。
少数の著作権のみを学習データとして利用する事が法第30条の4を適用するべきである。",規範的主張,著作物の利用,生成AIの学習に対して,法第30条の4,適用するべき,NA,NA,著作物の利用が生成AIの学習に対してであるから、法第30条の4を適用するべきである。,255,7,225,191,2960,2960,0.2
60,"生成AI技術の発展が高い精度で再現される状況を引き起こしている。
個人の幾年幾十年の研鑽の果ての個性である作風を用いて本人の望まない性的・卑猥な作品が乱造されることがあってはならない。",規範的主張,生成AI技術の発展,高い精度で再現される状況,個性である作風の乱造,あってはならない,NA,NA,生成AI技術の発展が高い精度で再現される状況だから、個性である作風の乱造はあってはならない。,10,5051,3507,2939,2960,2960,0.1
61,"データボックスがブラックボックスと化している。
データボックスが開示されておくべきである。",規範的主張,データボックス,ブラックボックスと化している,データボックス,開示されておくべき,NA,NA,データボックスがブラックボックスと化しているから、データボックスは開示されておくべきである。,1710,683,1710,2560,2960,2960,0.1
62,"無法状態の生成AIがクリエイターなど様々な人の権利に対して脅かす恐れがある。
法整備が法整備を求める。",要望,無法状態の生成AI,様々な人の権利に対して脅かす恐れ,NA,NA,法整備,法整備を求める,無法状態の生成AIが様々な人の権利に対して脅かす恐れがあるから、法整備に対して法整備をして欲しい。,1727,3898,2960,2960,329,4617,0.1
63,"生成AIがクリエイターの権利に対して無断学習を回避するのは不可能である状況を引き起こしている。
生成AIによる被害の自衛手段としてglaze等の加工が可能にすべきである。",規範的主張,生成AIがクリエイターの権利に対して,無断学習を回避するのは不可能,glaze等の加工,可能にすべき,NA,NA,生成AIがクリエイターの権利に対して無断学習を回避するのは不可能であるから、glaze等の加工が可能にすべきである。,0,2922,2753,87,2960,2960,0.1
64,"生成AIが他文化との共存や多文化主義との相互補完的な関係、誰もが安心してデータを提供し流通させることができ提供したデータから便益を得られる環境等を目指しているものとは思えない。
生成AIが一方的に生成AI利用者の私的利益を手助けする仕組みになっている。",規範的主張,生成AIが他文化との共存,目指しているものとは思えない,生成AI利用者の私的利益,手助けする仕組み,NA,NA,生成AIが他文化との共存を目指しているものとは思えないから、生成AI利用者の私的利益を手助けする仕組みであるべきである。,3074,2419,409,2618,2960,2960,0.2
65,"AIによる作品の模倣が作家さんたちに対して心を病む要因となっている。
政府がAI規制を検討して欲しい。",要望,AIによる作品の模倣,作家さんたちに対して心を病む要因,NA,NA,政府,AI規制を検討,AIによる作品の模倣が作家さんたちに対して心を病む要因だから、政府に対してAI規制を検討して欲しい。,36,2063,2960,2960,2383,12,0.1
67,"画像生成AIがデータセットに対して児童ポルノ等で汚染されている状況を引き起こしている。
画像生成AIの公的使用が問題がある。",規範的主張,画像生成AI,データセット汚染,公的使用,問題がある,NA,NA,画像生成AIがデータセット汚染を引き起こしているから公的使用に問題がある。,0,3910,1724,69,2960,2960,0.1
68,"生成AIがイラストの生成に対して学習データに頼り切っている。
AIによる無断学習が取り締まるべきである。",規範的主張,生成AIがイラストの生成,学習データに頼り切っている,AIによる無断学習,取り締まるべき,NA,NA,生成AIがイラストの生成に学習データに頼り切っているから、AIによる無断学習を取り締まるべきである。,0,4546,7,498,2960,2960,0.2
69,"生成AIがクリエイターに対して育たなくなりコンテンツ創作の好循環が阻害される。
学習の方法がオプトイン方式であるべきである。",規範的主張,生成AIがクリエイターに対して育たなくなり,コンテンツ創作の好循環が阻害される,学習の方法,オプトイン方式,NA,NA,生成AIがクリエイターに対して育たなくなりコンテンツ創作の好循環が阻害されるから、学習の方法はオプトイン方式であるべきである。,0,3229,3412,2759,2960,2960,0.1
70,"著作権と生成AIの考え方が成熟しきっていないことが生成AI利用における不安に対して引き起こしている。
貴庁が考え方の整理を行い生成AI利用における不安を解消して欲しい。",要望,著作権と生成AI,考え方が成熟しきっていない,NA,NA,貴庁,考え方の整理を行い生成AI利用における不安を解消,著作権と生成AIの考え方が成熟しきっていないから、貴庁に対して考え方の整理を行い生成AI利用における不安を解消して欲しい。,0,3569,2960,2960,3063,5047,0.2
71,"生成AIが一般人の手に対して特殊詐欺で人を騙す為に多量の電気が消費される状況を引き起こしている。
生成AIを一般人の手に許してしまうことによる特殊詐欺や電気代の高騰による貧しい人々の苦境が避けるべきである。",規範的主張,生成AIが特殊詐欺で人を騙す,多量の電気が消費される,特殊詐欺や電気代の高騰,避けるべき,NA,NA,生成AIが特殊詐欺で人を騙すために多量の電気が消費されるから、特殊詐欺や電気代の高騰は避けるべきである。,386,1571,1150,797,2960,2960,0.1
72,"イラストレーターが受けるべき利益をAI利用者が模倣した絵柄でかすめ取る状況が最も問題視されている点である。
従来の著作権法の考え方が絵柄にも著作権を認めるべきである。",規範的主張,イラストレーターが受けるべき利益,AI利用者が模倣した絵柄でかすめ取る状況が最も問題視されている点,従来の著作権法の考え方,絵柄にも著作権を認めるべき,NA,NA,イラストレーターが受けるべき利益がAI利用者が模倣した絵柄でかすめ取る状況が最も問題視されている点であるから、従来の著作権法の考え方が絵柄にも著作権を認めるべきである。,1454,4040,344,2160,2960,2960,0.1
73,"著作権法第30条の4の但し書きが極端に拡大解釈されている状況を引き起こしているか。
著作権法第30条の4の但し書きが原則として適用すべきでない。",規範的主張,著作権法第30条の4の但し書き,拡大解釈されている,著作権法第30条の4の但し書き,適用すべきでない,NA,NA,著作権法第30条の4の但し書きが拡大解釈されているから、著作権法第30条の4の但し書きは適用すべきでない。,217,53,217,297,2960,2960,0.2
